Sampling current and voltage from /sys/devices/pci0000:c0/0000:c0:01.1/0000:c3:00.1/xmc.u.19922944
Cadence = 0.1 seconds
Time, Current, Voltage
2022-11-17T13:29:18,788726132+0000, 1397, 12330
2022-11-17T13:29:18,896161317+0000, 1397, 12330
2022-11-17T13:29:19,004400854+0000, 1397, 12330
2022-11-17T13:29:19,111830827+0000, 1397, 12330
2022-11-17T13:29:19,218860133+0000, 1397, 12330
2022-11-17T13:29:19,326584190+0000, 1397, 12330
2022-11-17T13:29:19,433630405+0000, 1397, 12330
2022-11-17T13:29:19,540875758+0000, 1397, 12330
2022-11-17T13:29:19,647984593+0000, 1397, 12330
2022-11-17T13:29:19,755098236+0000, 1397, 12330
2022-11-17T13:29:19,872861363+0000, 1422, 12272
2022-11-17T13:29:19,981201061+0000, 1422, 12272
2022-11-17T13:29:20,088641051+0000, 1422, 12272
2022-11-17T13:29:20,196845152+0000, 1422, 12272
2022-11-17T13:29:20,304213466+0000, 1422, 12272
2022-11-17T13:29:20,411429466+0000, 1422, 12272
2022-11-17T13:29:20,519077237+0000, 1422, 12272
2022-11-17T13:29:20,626319272+0000, 1422, 12272
2022-11-17T13:29:20,733566476+0000, 1422, 12272
2022-11-17T13:29:20,840371559+0000, 1422, 12272
2022-11-17T13:29:20,958619453+0000, 1422, 12272
2022-11-17T13:29:21,067398224+0000, 1422, 12272
2022-11-17T13:29:21,175010822+0000, 1422, 12272
2022-11-17T13:29:21,282632606+0000, 1422, 12272
2022-11-17T13:29:21,389215029+0000, 1422, 12272
2022-11-17T13:29:21,496327577+0000, 1422, 12272
2022-11-17T13:29:21,603098258+0000, 1422, 12272
2022-11-17T13:29:21,710184419+0000, 1422, 12272
2022-11-17T13:29:21,817275118+0000, 1422, 12272
2022-11-17T13:29:21,924014885+0000, 1422, 12272
2022-11-17T13:29:22,041494171+0000, 1422, 12272
2022-11-17T13:29:22,148101455+0000, 1422, 12272
2022-11-17T13:29:22,254857728+0000, 1422, 12272
2022-11-17T13:29:22,362247035+0000, 1422, 12272
2022-11-17T13:29:22,469995027+0000, 1422, 12272
2022-11-17T13:29:22,578091055+0000, 1422, 12272
2022-11-17T13:29:22,685727653+0000, 1422, 12272
2022-11-17T13:29:22,792454866+0000, 1422, 12272
2022-11-17T13:29:22,899489465+0000, 1422, 12272
2022-11-17T13:29:23,006343611+0000, 1422, 12272
2022-11-17T13:29:23,124389400+0000, 1418, 12315
2022-11-17T13:29:23,231948381+0000, 1418, 12315
2022-11-17T13:29:23,339372546+0000, 1418, 12315
2022-11-17T13:29:23,446499252+0000, 1418, 12315
2022-11-17T13:29:23,553890961+0000, 1418, 12315
2022-11-17T13:29:23,661195477+0000, 1418, 12315
2022-11-17T13:29:23,769208018+0000, 1418, 12315
2022-11-17T13:29:23,876340474+0000, 1418, 12315
2022-11-17T13:29:23,984073297+0000, 1418, 12315
2022-11-17T13:29:24,092357231+0000, 1418, 12315
2022-11-17T13:29:24,211195163+0000, 1418, 12315
2022-11-17T13:29:24,318550956+0000, 1418, 12315
2022-11-17T13:29:24,425338028+0000, 1418, 12315
2022-11-17T13:29:24,532423099+0000, 1418, 12315
2022-11-17T13:29:24,640485364+0000, 1418, 12315
2022-11-17T13:29:24,748389533+0000, 1418, 12315
2022-11-17T13:29:24,855635204+0000, 1418, 12315
2022-11-17T13:29:24,963121295+0000, 1418, 12315
2022-11-17T13:29:25,071324656+0000, 1418, 12315
2022-11-17T13:29:25,178894870+0000, 1418, 12315
2022-11-17T13:29:25,297356018+0000, 1407, 12305
2022-11-17T13:29:25,404969087+0000, 1407, 12305
2022-11-17T13:29:25,512268879+0000, 1407, 12305
2022-11-17T13:29:25,619784278+0000, 1407, 12305
2022-11-17T13:29:25,726937265+0000, 1407, 12305
2022-11-17T13:29:25,834542109+0000, 1407, 12305
2022-11-17T13:29:25,941896186+0000, 1407, 12305
2022-11-17T13:29:26,049317091+0000, 1407, 12305
2022-11-17T13:29:26,155777597+0000, 1407, 12305
2022-11-17T13:29:26,262970710+0000, 1407, 12305
2022-11-17T13:29:26,382879885+0000, 1407, 12305
2022-11-17T13:29:26,491205404+0000, 1407, 12305
2022-11-17T13:29:26,598989488+0000, 1407, 12305
2022-11-17T13:29:26,706079862+0000, 1407, 12305
2022-11-17T13:29:26,813002965+0000, 1407, 12305
2022-11-17T13:29:26,920067844+0000, 1407, 12305
2022-11-17T13:29:27,026849080+0000, 1407, 12305
2022-11-17T13:29:27,134067424+0000, 1407, 12305
2022-11-17T13:29:27,241442322+0000, 1407, 12305
2022-11-17T13:29:27,349026675+0000, 1407, 12305
2022-11-17T13:29:27,468105413+0000, 1407, 12305
2022-11-17T13:29:27,575593668+0000, 1407, 12305
2022-11-17T13:29:27,683177550+0000, 1407, 12305
2022-11-17T13:29:27,791189929+0000, 1407, 12305
2022-11-17T13:29:27,898743188+0000, 1407, 12305
2022-11-17T13:29:28,006434199+0000, 1407, 12305
2022-11-17T13:29:28,113123646+0000, 1407, 12305
2022-11-17T13:29:28,219685241+0000, 1407, 12305
