Sampling current and voltage from /sys/devices/pci0000:c0/0000:c0:01.1/0000:c3:00.1/xmc.u.19922944
Cadence = 0.1 seconds
Time, Current, Voltage
2022-11-17T13:29:28,326374959+0000, 1407, 12305
2022-11-17T13:29:28,433479040+0000, 1407, 12305
2022-11-17T13:29:28,551485028+0000, 1382, 12304
2022-11-17T13:29:28,658992944+0000, 1382, 12304
2022-11-17T13:29:28,766457194+0000, 1382, 12304
2022-11-17T13:29:28,874669399+0000, 1382, 12304
2022-11-17T13:29:28,982501701+0000, 1382, 12304
2022-11-17T13:29:29,090337718+0000, 1382, 12304
2022-11-17T13:29:29,197899084+0000, 1382, 12304
2022-11-17T13:29:29,304675750+0000, 1382, 12304
2022-11-17T13:29:29,411221713+0000, 1382, 12304
2022-11-17T13:29:29,518500475+0000, 1382, 12304
2022-11-17T13:29:29,636417398+0000, 1382, 12304
2022-11-17T13:29:29,744213043+0000, 1382, 12304
2022-11-17T13:29:29,851377636+0000, 1382, 12304
2022-11-17T13:29:29,960144076+0000, 1382, 12304
2022-11-17T13:29:30,067111794+0000, 1382, 12304
2022-11-17T13:29:30,174365599+0000, 1382, 12304
2022-11-17T13:29:30,282191352+0000, 1382, 12304
2022-11-17T13:29:30,390283852+0000, 1382, 12304
2022-11-17T13:29:30,498165072+0000, 1382, 12304
2022-11-17T13:29:30,605252978+0000, 1382, 12304
2022-11-17T13:29:30,723745246+0000, 1393, 12299
2022-11-17T13:29:30,831639309+0000, 1393, 12299
2022-11-17T13:29:30,939181929+0000, 1393, 12299
2022-11-17T13:29:31,046358288+0000, 1393, 12299
2022-11-17T13:29:31,153763543+0000, 1393, 12299
2022-11-17T13:29:31,260885023+0000, 1393, 12299
2022-11-17T13:29:31,368219174+0000, 1393, 12299
2022-11-17T13:29:31,476096104+0000, 1393, 12299
2022-11-17T13:29:31,583651832+0000, 1393, 12299
2022-11-17T13:29:31,690696598+0000, 1393, 12299
2022-11-17T13:29:31,808842162+0000, 1393, 12299
2022-11-17T13:29:31,915767790+0000, 1393, 12299
2022-11-17T13:29:32,022540149+0000, 1393, 12299
2022-11-17T13:29:32,129497818+0000, 1393, 12299
2022-11-17T13:29:32,236830623+0000, 1393, 12299
2022-11-17T13:29:32,344113320+0000, 1393, 12299
2022-11-17T13:29:32,451415411+0000, 1393, 12299
2022-11-17T13:29:32,559126186+0000, 1393, 12299
2022-11-17T13:29:32,667017036+0000, 1393, 12299
2022-11-17T13:29:32,774765868+0000, 1393, 12299
2022-11-17T13:29:32,893958281+0000, 1393, 12299
2022-11-17T13:29:33,001696203+0000, 1393, 12299
2022-11-17T13:29:33,108309777+0000, 1393, 12299
2022-11-17T13:29:33,214970693+0000, 1393, 12299
2022-11-17T13:29:33,322139247+0000, 1393, 12299
2022-11-17T13:29:33,429150856+0000, 1393, 12299
2022-11-17T13:29:33,536605349+0000, 1393, 12299
2022-11-17T13:29:33,643823990+0000, 1393, 12299
2022-11-17T13:29:33,751783255+0000, 1393, 12299
2022-11-17T13:29:33,859701138+0000, 1393, 12299
2022-11-17T13:29:33,978611208+0000, 1404, 12309
2022-11-17T13:29:34,086289348+0000, 1404, 12309
2022-11-17T13:29:34,192740713+0000, 1404, 12309
2022-11-17T13:29:34,299969818+0000, 1404, 12309
2022-11-17T13:29:34,407405754+0000, 1404, 12309
2022-11-17T13:29:34,514271353+0000, 1404, 12309
2022-11-17T13:29:34,621890239+0000, 1404, 12309
2022-11-17T13:29:34,729224658+0000, 1404, 12309
2022-11-17T13:29:34,836065234+0000, 1404, 12309
2022-11-17T13:29:34,942859068+0000, 1404, 12309
2022-11-17T13:29:35,061247452+0000, 1404, 12309
2022-11-17T13:29:35,168118295+0000, 1404, 12309
2022-11-17T13:29:35,275596270+0000, 1404, 12309
2022-11-17T13:29:35,383138778+0000, 1404, 12309
2022-11-17T13:29:35,490276699+0000, 1404, 12309
2022-11-17T13:29:35,596566336+0000, 1404, 12309
2022-11-17T13:29:35,702835067+0000, 1404, 12309
2022-11-17T13:29:35,809545571+0000, 1404, 12309
2022-11-17T13:29:35,916533539+0000, 1404, 12309
2022-11-17T13:29:36,023190468+0000, 1404, 12309
2022-11-17T13:29:36,141059358+0000, 1401, 12296
2022-11-17T13:29:36,247645458+0000, 1401, 12296
2022-11-17T13:29:36,354268844+0000, 1401, 12296
2022-11-17T13:29:36,462454442+0000, 1401, 12296
2022-11-17T13:29:36,570020616+0000, 1401, 12296
2022-11-17T13:29:36,677295501+0000, 1401, 12296
2022-11-17T13:29:36,784805558+0000, 1401, 12296
2022-11-17T13:29:36,891777793+0000, 1401, 12296
2022-11-17T13:29:36,998503999+0000, 1401, 12296
2022-11-17T13:29:37,105485625+0000, 1401, 12296
2022-11-17T13:29:37,222970593+0000, 1401, 12296
2022-11-17T13:29:37,330030036+0000, 1401, 12296
2022-11-17T13:29:37,437093086+0000, 1401, 12296
2022-11-17T13:29:37,544452343+0000, 1401, 12296
2022-11-17T13:29:37,652103010+0000, 1401, 12296
2022-11-17T13:29:37,759510041+0000, 1401, 12296
2022-11-17T13:29:37,866110101+0000, 1401, 12296
2022-11-17T13:29:37,973779461+0000, 1401, 12296
2022-11-17T13:29:38,081169165+0000, 1401, 12296
2022-11-17T13:29:38,188894408+0000, 1401, 12296
2022-11-17T13:29:38,309270122+0000, 1401, 12296
2022-11-17T13:29:38,416443860+0000, 1401, 12296
2022-11-17T13:29:38,523632043+0000, 1401, 12296
2022-11-17T13:29:38,630624173+0000, 1401, 12296
2022-11-17T13:29:38,738162258+0000, 1401, 12296
2022-11-17T13:29:38,844511043+0000, 1401, 12296
2022-11-17T13:29:38,951619296+0000, 1401, 12296
2022-11-17T13:29:39,057965139+0000, 1401, 12296
2022-11-17T13:29:39,164937359+0000, 1401, 12296
2022-11-17T13:29:39,273117031+0000, 1401, 12296
2022-11-17T13:29:39,391446825+0000, 1402, 12309
2022-11-17T13:29:39,497916546+0000, 1402, 12309
2022-11-17T13:29:39,604305074+0000, 1402, 12309
2022-11-17T13:29:39,710905784+0000, 1402, 12309
2022-11-17T13:29:39,817333601+0000, 1402, 12309
2022-11-17T13:29:39,924321668+0000, 1402, 12309
2022-11-17T13:29:40,030661333+0000, 1402, 12309
2022-11-17T13:29:40,137634648+0000, 1402, 12309
2022-11-17T13:29:40,245157256+0000, 1402, 12309
2022-11-17T13:29:40,352190867+0000, 1402, 12309
2022-11-17T13:29:40,470726561+0000, 1402, 12309
2022-11-17T13:29:40,577948752+0000, 1402, 12309
2022-11-17T13:29:40,685054880+0000, 1402, 12309
2022-11-17T13:29:40,791952193+0000, 1402, 12309
2022-11-17T13:29:40,898624352+0000, 1402, 12309
2022-11-17T13:29:41,005362477+0000, 1402, 12309
2022-11-17T13:29:41,111914951+0000, 1402, 12309
2022-11-17T13:29:41,218597311+0000, 1402, 12309
2022-11-17T13:29:41,325725542+0000, 1402, 12309
2022-11-17T13:29:41,432153267+0000, 1402, 12309
2022-11-17T13:29:41,549630406+0000, 1402, 12309
2022-11-17T13:29:41,656866506+0000, 1402, 12309
2022-11-17T13:29:41,764145962+0000, 1402, 12309
2022-11-17T13:29:41,871759032+0000, 1402, 12309
2022-11-17T13:29:41,979576560+0000, 1402, 12309
2022-11-17T13:29:42,087394083+0000, 1402, 12309
2022-11-17T13:29:42,195545289+0000, 1402, 12309
2022-11-17T13:29:42,302737106+0000, 1402, 12309
2022-11-17T13:29:42,410687901+0000, 1402, 12309
2022-11-17T13:29:42,517610577+0000, 1402, 12309
2022-11-17T13:29:42,635639029+0000, 1398, 12304
2022-11-17T13:29:42,742983063+0000, 1398, 12304
2022-11-17T13:29:42,850247055+0000, 1398, 12304
2022-11-17T13:29:42,957203359+0000, 1398, 12304
2022-11-17T13:29:43,064420296+0000, 1398, 12304
2022-11-17T13:29:43,171898007+0000, 1398, 12304
2022-11-17T13:29:43,279578022+0000, 1398, 12304
2022-11-17T13:29:43,386937667+0000, 1398, 12304
2022-11-17T13:29:43,494006732+0000, 1398, 12304
2022-11-17T13:29:43,601043090+0000, 1398, 12304
2022-11-17T13:29:43,719205696+0000, 1398, 12304
2022-11-17T13:29:43,826398358+0000, 1398, 12304
2022-11-17T13:29:43,932847107+0000, 1398, 12304
2022-11-17T13:29:44,039899078+0000, 1398, 12304
2022-11-17T13:29:44,147317478+0000, 1398, 12304
2022-11-17T13:29:44,254045630+0000, 1398, 12304
2022-11-17T13:29:44,360824210+0000, 1398, 12304
2022-11-17T13:29:44,468090515+0000, 1398, 12304
2022-11-17T13:29:44,575821463+0000, 1398, 12304
2022-11-17T13:29:44,683035696+0000, 1398, 12304
2022-11-17T13:29:44,801819389+0000, 1411, 12318
2022-11-17T13:29:44,909573177+0000, 1411, 12318
2022-11-17T13:29:45,016456707+0000, 1411, 12318
2022-11-17T13:29:45,123697390+0000, 1411, 12318
2022-11-17T13:29:45,230739545+0000, 1411, 12318
2022-11-17T13:29:45,337442306+0000, 1411, 12318
2022-11-17T13:29:45,444017463+0000, 1411, 12318
2022-11-17T13:29:45,551033122+0000, 1411, 12318
2022-11-17T13:29:45,658737968+0000, 1411, 12318
2022-11-17T13:29:45,766744283+0000, 1411, 12318
2022-11-17T13:29:45,884839206+0000, 1411, 12318
2022-11-17T13:29:45,991428999+0000, 1411, 12318
2022-11-17T13:29:46,098037964+0000, 1411, 12318
2022-11-17T13:29:46,204887195+0000, 1411, 12318
2022-11-17T13:29:46,312350852+0000, 1411, 12318
2022-11-17T13:29:46,419597309+0000, 1411, 12318
2022-11-17T13:29:46,526571718+0000, 1411, 12318
2022-11-17T13:29:46,633935090+0000, 1411, 12318
2022-11-17T13:29:46,741040038+0000, 1411, 12318
2022-11-17T13:29:46,847645982+0000, 1411, 12318
2022-11-17T13:29:46,966407342+0000, 1411, 12318
2022-11-17T13:29:47,073946040+0000, 1411, 12318
2022-11-17T13:29:47,181841237+0000, 1411, 12318
2022-11-17T13:29:47,288779266+0000, 1411, 12318
2022-11-17T13:29:47,395914962+0000, 1411, 12318
2022-11-17T13:29:47,504015949+0000, 1411, 12318
2022-11-17T13:29:47,610725708+0000, 1411, 12318
2022-11-17T13:29:47,718601151+0000, 1411, 12318
2022-11-17T13:29:47,824990368+0000, 1411, 12318
2022-11-17T13:29:47,932082317+0000, 1411, 12318
2022-11-17T13:29:48,050044812+0000, 1362, 12294
2022-11-17T13:29:48,156929401+0000, 1362, 12294
2022-11-17T13:29:48,264453801+0000, 1362, 12294
2022-11-17T13:29:48,372057440+0000, 1362, 12294
2022-11-17T13:29:48,479450960+0000, 1362, 12294
2022-11-17T13:29:48,586780248+0000, 1362, 12294
2022-11-17T13:29:48,694475278+0000, 1362, 12294
2022-11-17T13:29:48,801653461+0000, 1362, 12294
2022-11-17T13:29:48,909536129+0000, 1362, 12294
2022-11-17T13:29:49,016292278+0000, 1362, 12294
2022-11-17T13:29:49,134452416+0000, 1362, 12294
2022-11-17T13:29:49,241958236+0000, 1362, 12294
2022-11-17T13:29:49,349198541+0000, 1362, 12294
2022-11-17T13:29:49,456219782+0000, 1362, 12294
2022-11-17T13:29:49,562997545+0000, 1362, 12294
2022-11-17T13:29:49,670441167+0000, 1362, 12294
2022-11-17T13:29:49,778217261+0000, 1362, 12294
2022-11-17T13:29:49,885903258+0000, 1362, 12294
2022-11-17T13:29:49,993288547+0000, 1362, 12294
2022-11-17T13:29:50,100227453+0000, 1362, 12294
2022-11-17T13:29:50,217784890+0000, 1383, 12292
2022-11-17T13:29:50,324177040+0000, 1383, 12292
2022-11-17T13:29:50,430387621+0000, 1383, 12292
2022-11-17T13:29:50,536820421+0000, 1383, 12292
2022-11-17T13:29:50,643225694+0000, 1383, 12292
2022-11-17T13:29:50,750302084+0000, 1383, 12292
2022-11-17T13:29:50,857294547+0000, 1383, 12292
2022-11-17T13:29:50,965119069+0000, 1383, 12292
2022-11-17T13:29:51,072305901+0000, 1383, 12292
2022-11-17T13:29:51,180063779+0000, 1383, 12292
2022-11-17T13:29:51,298825656+0000, 1383, 12292
2022-11-17T13:29:51,406164008+0000, 1383, 12292
2022-11-17T13:29:51,513182259+0000, 1383, 12292
2022-11-17T13:29:51,619822155+0000, 1383, 12292
2022-11-17T13:29:51,726593613+0000, 1383, 12292
2022-11-17T13:29:51,833406613+0000, 1383, 12292
2022-11-17T13:29:51,940179613+0000, 1383, 12292
2022-11-17T13:29:52,047238713+0000, 1383, 12292
2022-11-17T13:29:52,154478695+0000, 1383, 12292
2022-11-17T13:29:52,261262596+0000, 1383, 12292
2022-11-17T13:29:52,379854282+0000, 1383, 12292
2022-11-17T13:29:52,487104041+0000, 1383, 12292
2022-11-17T13:29:52,593791442+0000, 1383, 12292
2022-11-17T13:29:52,700083561+0000, 1383, 12292
2022-11-17T13:29:52,806389773+0000, 1383, 12292
2022-11-17T13:29:52,912807552+0000, 1383, 12292
2022-11-17T13:29:53,019385179+0000, 1383, 12292
2022-11-17T13:29:53,126145741+0000, 1383, 12292
2022-11-17T13:29:53,232741203+0000, 1383, 12292
2022-11-17T13:29:53,339382687+0000, 1383, 12292
2022-11-17T13:29:53,457431035+0000, 1415, 12326
2022-11-17T13:29:53,564630788+0000, 1415, 12326
2022-11-17T13:29:53,672365301+0000, 1415, 12326
2022-11-17T13:29:53,779542344+0000, 1415, 12326
2022-11-17T13:29:53,886899183+0000, 1415, 12326
2022-11-17T13:29:53,993950816+0000, 1415, 12326
2022-11-17T13:29:54,100598139+0000, 1415, 12326
2022-11-17T13:29:54,207645937+0000, 1415, 12326
2022-11-17T13:29:54,315106260+0000, 1415, 12326
2022-11-17T13:29:54,421460000+0000, 1415, 12326
2022-11-17T13:29:54,538661047+0000, 1415, 12326
2022-11-17T13:29:54,644992167+0000, 1415, 12326
2022-11-17T13:29:54,752064569+0000, 1415, 12326
2022-11-17T13:29:54,858981898+0000, 1415, 12326
2022-11-17T13:29:54,965673471+0000, 1415, 12326
2022-11-17T13:29:55,073164356+0000, 1415, 12326
2022-11-17T13:29:55,180925659+0000, 1415, 12326
2022-11-17T13:29:55,288320479+0000, 1415, 12326
2022-11-17T13:29:55,395298717+0000, 1415, 12326
2022-11-17T13:29:55,502492283+0000, 1415, 12326
2022-11-17T13:29:55,620946357+0000, 1394, 12301
2022-11-17T13:29:55,728208113+0000, 1394, 12301
2022-11-17T13:29:55,835125304+0000, 1394, 12301
2022-11-17T13:29:55,941806680+0000, 1394, 12301
2022-11-17T13:29:56,049284705+0000, 1394, 12301
2022-11-17T13:29:56,156120284+0000, 1394, 12301
2022-11-17T13:29:56,263387892+0000, 1394, 12301
2022-11-17T13:29:56,370433400+0000, 1394, 12301
2022-11-17T13:29:56,478318112+0000, 1394, 12301
2022-11-17T13:29:56,585915709+0000, 1394, 12301
2022-11-17T13:29:56,704410280+0000, 1394, 12301
2022-11-17T13:29:56,812106130+0000, 1394, 12301
2022-11-17T13:29:56,918905967+0000, 1394, 12301
2022-11-17T13:29:57,026298393+0000, 1394, 12301
2022-11-17T13:29:57,133404339+0000, 1394, 12301
2022-11-17T13:29:57,240146836+0000, 1394, 12301
2022-11-17T13:29:57,346856485+0000, 1394, 12301
2022-11-17T13:29:57,454243444+0000, 1394, 12301
2022-11-17T13:29:57,561553659+0000, 1394, 12301
2022-11-17T13:29:57,668856240+0000, 1394, 12301
2022-11-17T13:29:57,786999739+0000, 1394, 12301
2022-11-17T13:29:57,894175638+0000, 1394, 12301
2022-11-17T13:29:58,002047850+0000, 1394, 12301
2022-11-17T13:29:58,108870298+0000, 1394, 12301
2022-11-17T13:29:58,215550867+0000, 1394, 12301
2022-11-17T13:29:58,322628615+0000, 1394, 12301
2022-11-17T13:29:58,429634365+0000, 1394, 12301
2022-11-17T13:29:58,535898062+0000, 1394, 12301
2022-11-17T13:29:58,642786967+0000, 1394, 12301
2022-11-17T13:29:58,750365615+0000, 1394, 12301
2022-11-17T13:29:58,868770209+0000, 1382, 12294
2022-11-17T13:29:58,975656941+0000, 1382, 12294
2022-11-17T13:29:59,082929191+0000, 1382, 12294
2022-11-17T13:29:59,189920908+0000, 1382, 12294
2022-11-17T13:29:59,297422371+0000, 1382, 12294
2022-11-17T13:29:59,405199569+0000, 1382, 12294
2022-11-17T13:29:59,512392640+0000, 1382, 12294
2022-11-17T13:29:59,620073839+0000, 1382, 12294
2022-11-17T13:29:59,726623670+0000, 1382, 12294
2022-11-17T13:29:59,833010193+0000, 1382, 12294
2022-11-17T13:29:59,950664584+0000, 1382, 12294
2022-11-17T13:30:00,057891456+0000, 1382, 12294
2022-11-17T13:30:00,165741753+0000, 1382, 12294
2022-11-17T13:30:00,273237358+0000, 1382, 12294
2022-11-17T13:30:00,380406708+0000, 1382, 12294
2022-11-17T13:30:00,488136103+0000, 1382, 12294
2022-11-17T13:30:00,595126008+0000, 1382, 12294
2022-11-17T13:30:00,702672021+0000, 1382, 12294
2022-11-17T13:30:00,809830712+0000, 1382, 12294
2022-11-17T13:30:00,916788721+0000, 1382, 12294
2022-11-17T13:30:01,035011569+0000, 1386, 12282
2022-11-17T13:30:01,141744663+0000, 1386, 12282
2022-11-17T13:30:01,248210748+0000, 1386, 12282
2022-11-17T13:30:01,354756713+0000, 1386, 12282
2022-11-17T13:30:01,461550333+0000, 1386, 12282
2022-11-17T13:30:01,568736725+0000, 1386, 12282
2022-11-17T13:30:01,675868259+0000, 1386, 12282
2022-11-17T13:30:01,783164915+0000, 1386, 12282
2022-11-17T13:30:01,889640416+0000, 1386, 12282
2022-11-17T13:30:01,996595600+0000, 1386, 12282
2022-11-17T13:30:02,115842034+0000, 1386, 12282
2022-11-17T13:30:02,222904227+0000, 1386, 12282
2022-11-17T13:30:02,329438322+0000, 1386, 12282
2022-11-17T13:30:02,436271713+0000, 1386, 12282
2022-11-17T13:30:02,543613719+0000, 1386, 12282
2022-11-17T13:30:02,650738162+0000, 1386, 12282
2022-11-17T13:30:02,758247822+0000, 1386, 12282
2022-11-17T13:30:02,865326264+0000, 1386, 12282
2022-11-17T13:30:02,972829684+0000, 1386, 12282
2022-11-17T13:30:03,080257761+0000, 1386, 12282
2022-11-17T13:30:03,199397594+0000, 1386, 12282
2022-11-17T13:30:03,306486906+0000, 1386, 12282
2022-11-17T13:30:03,414188675+0000, 1386, 12282
2022-11-17T13:30:03,521719634+0000, 1386, 12282
2022-11-17T13:30:03,628759458+0000, 1386, 12282
2022-11-17T13:30:03,735739728+0000, 1386, 12282
2022-11-17T13:30:03,842605737+0000, 1386, 12282
2022-11-17T13:30:03,949503972+0000, 1386, 12282
2022-11-17T13:30:04,057119190+0000, 1386, 12282
2022-11-17T13:30:04,164464142+0000, 1386, 12282
2022-11-17T13:30:04,283453786+0000, 1393, 12305
2022-11-17T13:30:04,390213608+0000, 1393, 12305
2022-11-17T13:30:04,497379996+0000, 1393, 12305
2022-11-17T13:30:04,604266972+0000, 1393, 12305
2022-11-17T13:30:04,711160399+0000, 1393, 12305
2022-11-17T13:30:04,818609284+0000, 1393, 12305
2022-11-17T13:30:04,925891365+0000, 1393, 12305
2022-11-17T13:30:05,033486259+0000, 1393, 12305
2022-11-17T13:30:05,139915770+0000, 1393, 12305
2022-11-17T13:30:05,246625434+0000, 1393, 12305
2022-11-17T13:30:05,364336381+0000, 1393, 12305
2022-11-17T13:30:05,471379562+0000, 1393, 12305
2022-11-17T13:30:05,579177922+0000, 1393, 12305
2022-11-17T13:30:05,686760673+0000, 1393, 12305
2022-11-17T13:30:05,794369680+0000, 1393, 12305
2022-11-17T13:30:05,901934219+0000, 1393, 12305
2022-11-17T13:30:06,009308425+0000, 1393, 12305
2022-11-17T13:30:06,115786131+0000, 1393, 12305
2022-11-17T13:30:06,222933305+0000, 1393, 12305
2022-11-17T13:30:06,330272807+0000, 1393, 12305
2022-11-17T13:30:06,448922562+0000, 1393, 12305
2022-11-17T13:30:06,555798038+0000, 1393, 12305
2022-11-17T13:30:06,663248345+0000, 1393, 12305
2022-11-17T13:30:06,770855710+0000, 1393, 12305
2022-11-17T13:30:06,877995711+0000, 1393, 12305
2022-11-17T13:30:06,985577661+0000, 1393, 12305
2022-11-17T13:30:07,093134951+0000, 1393, 12305
2022-11-17T13:30:07,200411433+0000, 1393, 12305
2022-11-17T13:30:07,307395560+0000, 1393, 12305
2022-11-17T13:30:07,414335098+0000, 1393, 12305
2022-11-17T13:30:07,532491748+0000, 1394, 12298
2022-11-17T13:30:07,639759525+0000, 1394, 12298
2022-11-17T13:30:07,747217376+0000, 1394, 12298
2022-11-17T13:30:07,854125859+0000, 1394, 12298
2022-11-17T13:30:07,961485988+0000, 1394, 12298
2022-11-17T13:30:08,069153774+0000, 1394, 12298
2022-11-17T13:30:08,176607828+0000, 1394, 12298
2022-11-17T13:30:08,284221393+0000, 1394, 12298
2022-11-17T13:30:08,391591870+0000, 1394, 12298
2022-11-17T13:30:08,498442362+0000, 1394, 12298
2022-11-17T13:30:08,617657560+0000, 1394, 12298
2022-11-17T13:30:08,724810464+0000, 1394, 12298
2022-11-17T13:30:08,831901228+0000, 1394, 12298
2022-11-17T13:30:08,939255998+0000, 1394, 12298
2022-11-17T13:30:09,046478871+0000, 1394, 12298
2022-11-17T13:30:09,153119763+0000, 1394, 12298
2022-11-17T13:30:09,259923541+0000, 1394, 12298
2022-11-17T13:30:09,367561319+0000, 1394, 12298
2022-11-17T13:30:09,475306836+0000, 1394, 12298
2022-11-17T13:30:09,583217805+0000, 1394, 12298
2022-11-17T13:30:09,701474148+0000, 1423, 12299
2022-11-17T13:30:09,809090488+0000, 1423, 12299
2022-11-17T13:30:09,916311732+0000, 1423, 12299
2022-11-17T13:30:10,023581950+0000, 1423, 12299
2022-11-17T13:30:10,130504677+0000, 1423, 12299
2022-11-17T13:30:10,237086464+0000, 1423, 12299
2022-11-17T13:30:10,343690389+0000, 1423, 12299
2022-11-17T13:30:10,450256408+0000, 1423, 12299
2022-11-17T13:30:10,557150986+0000, 1423, 12299
2022-11-17T13:30:10,664995718+0000, 1423, 12299
2022-11-17T13:30:10,784169251+0000, 1423, 12299
2022-11-17T13:30:10,891140954+0000, 1423, 12299
2022-11-17T13:30:10,998522630+0000, 1423, 12299
2022-11-17T13:30:11,105573131+0000, 1423, 12299
2022-11-17T13:30:11,212177216+0000, 1423, 12299
2022-11-17T13:30:11,319383562+0000, 1423, 12299
2022-11-17T13:30:11,425830119+0000, 1423, 12299
2022-11-17T13:30:11,532807903+0000, 1423, 12299
2022-11-17T13:30:11,639881936+0000, 1423, 12299
2022-11-17T13:30:11,747180775+0000, 1423, 12299
2022-11-17T13:30:11,865253893+0000, 1423, 12299
2022-11-17T13:30:11,972762341+0000, 1423, 12299
2022-11-17T13:30:12,080214810+0000, 1423, 12299
2022-11-17T13:30:12,187736241+0000, 1423, 12299
