timestamp, power.draw [W]
2022/11/21 17:02:17.705, 51.35 W
2022/11/21 17:02:17.717, 51.35 W
2022/11/21 17:02:17.730, 51.35 W
2022/11/21 17:02:17.742, 51.35 W
2022/11/21 17:02:17.754, 51.35 W
2022/11/21 17:02:17.767, 51.35 W
2022/11/21 17:02:17.779, 51.35 W
2022/11/21 17:02:17.792, 51.35 W
2022/11/21 17:02:17.806, 51.35 W
2022/11/21 17:02:17.818, 51.35 W
2022/11/21 17:02:17.831, 51.35 W
2022/11/21 17:02:17.843, 51.35 W
2022/11/21 17:02:17.855, 51.35 W
2022/11/21 17:02:17.868, 51.35 W
2022/11/21 17:02:17.880, 51.35 W
2022/11/21 17:02:17.892, 51.35 W
2022/11/21 17:02:17.906, 51.35 W
2022/11/21 17:02:17.919, 51.25 W
2022/11/21 17:02:17.936, 51.25 W
2022/11/21 17:02:17.949, 51.25 W
2022/11/21 17:02:17.962, 51.25 W
2022/11/21 17:02:17.974, 51.25 W
2022/11/21 17:02:17.988, 51.25 W
2022/11/21 17:02:18.000, 51.25 W
2022/11/21 17:02:18.013, 41.96 W
2022/11/21 17:02:18.031, 41.96 W
2022/11/21 17:02:18.044, 41.96 W
2022/11/21 17:02:18.057, 41.96 W
2022/11/21 17:02:18.070, 41.96 W
2022/11/21 17:02:18.082, 41.96 W
2022/11/21 17:02:18.095, 41.96 W
2022/11/21 17:02:18.108, 41.96 W
2022/11/21 17:02:18.121, 42.06 W
2022/11/21 17:02:18.134, 42.06 W
2022/11/21 17:02:18.149, 42.06 W
2022/11/21 17:02:18.162, 42.06 W
2022/11/21 17:02:18.175, 42.06 W
2022/11/21 17:02:18.189, 42.06 W
2022/11/21 17:02:18.202, 42.06 W
2022/11/21 17:02:18.215, 41.86 W
2022/11/21 17:02:18.230, 41.86 W
2022/11/21 17:02:18.243, 41.86 W
2022/11/21 17:02:18.256, 41.86 W
2022/11/21 17:02:18.271, 41.86 W
2022/11/21 17:02:18.284, 41.86 W
2022/11/21 17:02:18.297, 41.86 W
2022/11/21 17:02:18.310, 41.86 W
2022/11/21 17:02:18.323, 42.06 W
2022/11/21 17:02:18.336, 42.06 W
2022/11/21 17:02:18.351, 42.06 W
2022/11/21 17:02:18.364, 42.06 W
2022/11/21 17:02:18.376, 42.06 W
2022/11/21 17:02:18.391, 42.06 W
2022/11/21 17:02:18.404, 42.06 W
2022/11/21 17:02:18.417, 41.86 W
2022/11/21 17:02:18.432, 41.86 W
2022/11/21 17:02:18.445, 41.86 W
2022/11/21 17:02:18.458, 41.86 W
2022/11/21 17:02:18.472, 41.86 W
2022/11/21 17:02:18.484, 41.86 W
2022/11/21 17:02:18.497, 41.86 W
2022/11/21 17:02:18.512, 41.86 W
2022/11/21 17:02:18.524, 41.96 W
2022/11/21 17:02:18.537, 41.96 W
2022/11/21 17:02:18.552, 41.96 W
2022/11/21 17:02:18.565, 41.96 W
2022/11/21 17:02:18.578, 41.96 W
2022/11/21 17:02:18.593, 41.96 W
2022/11/21 17:02:18.606, 41.96 W
2022/11/21 17:02:18.618, 41.87 W
2022/11/21 17:02:18.634, 41.87 W
2022/11/21 17:02:18.646, 41.87 W
2022/11/21 17:02:18.659, 41.87 W
2022/11/21 17:02:18.673, 41.87 W
2022/11/21 17:02:18.686, 41.87 W
2022/11/21 17:02:18.699, 41.87 W
2022/11/21 17:02:18.713, 41.87 W
2022/11/21 17:02:18.726, 41.96 W
2022/11/21 17:02:18.739, 41.96 W
2022/11/21 17:02:18.754, 41.96 W
2022/11/21 17:02:18.766, 41.96 W
2022/11/21 17:02:18.779, 41.96 W
2022/11/21 17:02:18.794, 41.96 W
2022/11/21 17:02:18.807, 41.96 W
2022/11/21 17:02:18.819, 41.76 W
2022/11/21 17:02:18.835, 41.76 W
2022/11/21 17:02:18.848, 41.76 W
2022/11/21 17:02:18.860, 41.76 W
2022/11/21 17:02:18.874, 41.76 W
2022/11/21 17:02:18.887, 41.76 W
2022/11/21 17:02:18.900, 41.76 W
2022/11/21 17:02:18.914, 41.76 W
2022/11/21 17:02:18.927, 42.06 W
2022/11/21 17:02:18.940, 42.06 W
2022/11/21 17:02:18.955, 42.06 W
2022/11/21 17:02:18.968, 42.06 W
2022/11/21 17:02:18.980, 42.06 W
2022/11/21 17:02:18.995, 42.06 W
2022/11/21 17:02:19.008, 42.06 W
2022/11/21 17:02:19.021, 41.77 W
2022/11/21 17:02:19.036, 41.77 W
2022/11/21 17:02:19.049, 41.77 W
2022/11/21 17:02:19.062, 41.77 W
2022/11/21 17:02:19.076, 41.77 W
2022/11/21 17:02:19.090, 41.77 W
2022/11/21 17:02:19.103, 41.77 W
2022/11/21 17:02:19.116, 41.77 W
2022/11/21 17:02:19.129, 41.87 W
2022/11/21 17:02:19.141, 41.87 W
2022/11/21 17:02:19.156, 41.87 W
2022/11/21 17:02:19.169, 41.87 W
2022/11/21 17:02:19.182, 41.87 W
2022/11/21 17:02:19.197, 41.87 W
2022/11/21 17:02:19.210, 41.87 W
2022/11/21 17:02:19.223, 41.87 W
2022/11/21 17:02:19.237, 41.87 W
2022/11/21 17:02:19.250, 41.87 W
2022/11/21 17:02:19.263, 41.87 W
2022/11/21 17:02:19.277, 41.87 W
2022/11/21 17:02:19.290, 41.87 W
2022/11/21 17:02:19.303, 41.87 W
2022/11/21 17:02:19.317, 41.87 W
2022/11/21 17:02:19.330, 41.86 W
2022/11/21 17:02:19.343, 41.86 W
2022/11/21 17:02:19.358, 41.86 W
2022/11/21 17:02:19.370, 41.86 W
2022/11/21 17:02:19.383, 41.86 W
2022/11/21 17:02:19.399, 41.86 W
2022/11/21 17:02:19.411, 41.86 W
2022/11/21 17:02:19.424, 41.77 W
2022/11/21 17:02:19.439, 41.77 W
2022/11/21 17:02:19.452, 41.77 W
2022/11/21 17:02:19.465, 41.77 W
2022/11/21 17:02:19.479, 41.77 W
2022/11/21 17:02:19.491, 41.77 W
2022/11/21 17:02:19.504, 41.77 W
2022/11/21 17:02:19.519, 41.77 W
2022/11/21 17:02:19.531, 41.96 W
2022/11/21 17:02:19.544, 41.96 W
2022/11/21 17:02:19.559, 41.96 W
2022/11/21 17:02:19.572, 41.96 W
2022/11/21 17:02:19.585, 41.96 W
2022/11/21 17:02:19.599, 41.96 W
2022/11/21 17:02:19.612, 41.96 W
2022/11/21 17:02:19.625, 41.77 W
2022/11/21 17:02:19.641, 41.77 W
2022/11/21 17:02:19.653, 41.77 W
2022/11/21 17:02:19.666, 41.77 W
2022/11/21 17:02:19.680, 41.77 W
2022/11/21 17:02:19.692, 41.77 W
2022/11/21 17:02:19.706, 41.77 W
2022/11/21 17:02:19.720, 41.77 W
2022/11/21 17:02:19.732, 41.96 W
2022/11/21 17:02:19.745, 41.96 W
2022/11/21 17:02:19.760, 41.96 W
2022/11/21 17:02:19.773, 41.96 W
2022/11/21 17:02:19.786, 41.96 W
2022/11/21 17:02:19.800, 41.96 W
2022/11/21 17:02:19.813, 41.96 W
2022/11/21 17:02:19.826, 41.76 W
2022/11/21 17:02:19.842, 41.76 W
2022/11/21 17:02:19.854, 41.76 W
2022/11/21 17:02:19.867, 41.76 W
2022/11/21 17:02:19.881, 41.76 W
2022/11/21 17:02:19.893, 41.76 W
2022/11/21 17:02:19.906, 41.76 W
2022/11/21 17:02:19.921, 41.76 W
2022/11/21 17:02:19.934, 41.86 W
2022/11/21 17:02:19.946, 41.86 W
2022/11/21 17:02:19.961, 41.86 W
2022/11/21 17:02:19.974, 41.86 W
2022/11/21 17:02:19.987, 41.86 W
2022/11/21 17:02:20.001, 41.86 W
2022/11/21 17:02:20.014, 41.86 W
2022/11/21 17:02:20.027, 41.67 W
2022/11/21 17:02:20.043, 41.67 W
2022/11/21 17:02:20.055, 41.67 W
2022/11/21 17:02:20.068, 41.67 W
2022/11/21 17:02:20.082, 41.67 W
2022/11/21 17:02:20.094, 41.67 W
2022/11/21 17:02:20.107, 41.67 W
2022/11/21 17:02:20.122, 41.67 W
2022/11/21 17:02:20.135, 41.96 W
2022/11/21 17:02:20.147, 41.96 W
2022/11/21 17:02:20.162, 41.96 W
2022/11/21 17:02:20.175, 41.96 W
2022/11/21 17:02:20.188, 41.96 W
2022/11/21 17:02:20.202, 41.96 W
2022/11/21 17:02:20.215, 41.96 W
2022/11/21 17:02:20.228, 41.67 W
2022/11/21 17:02:20.244, 41.67 W
2022/11/21 17:02:20.256, 41.67 W
2022/11/21 17:02:20.269, 41.67 W
2022/11/21 17:02:20.284, 41.67 W
2022/11/21 17:02:20.296, 41.67 W
2022/11/21 17:02:20.309, 41.67 W
2022/11/21 17:02:20.323, 41.67 W
2022/11/21 17:02:20.336, 41.87 W
2022/11/21 17:02:20.349, 41.87 W
2022/11/21 17:02:20.364, 41.87 W
2022/11/21 17:02:20.376, 41.87 W
2022/11/21 17:02:20.389, 41.87 W
2022/11/21 17:02:20.404, 41.87 W
2022/11/21 17:02:20.417, 41.87 W
2022/11/21 17:02:20.429, 41.77 W
2022/11/21 17:02:20.445, 41.77 W
2022/11/21 17:02:20.458, 41.77 W
2022/11/21 17:02:20.471, 41.77 W
2022/11/21 17:02:20.485, 41.77 W
2022/11/21 17:02:20.497, 41.77 W
2022/11/21 17:02:20.510, 41.77 W
2022/11/21 17:02:20.525, 41.77 W
2022/11/21 17:02:20.538, 41.97 W
2022/11/21 17:02:20.551, 41.97 W
2022/11/21 17:02:20.565, 41.97 W
2022/11/21 17:02:20.578, 41.97 W
2022/11/21 17:02:20.590, 41.97 W
2022/11/21 17:02:20.605, 41.97 W
2022/11/21 17:02:20.618, 41.97 W
2022/11/21 17:02:20.631, 41.76 W
2022/11/21 17:02:20.646, 41.76 W
2022/11/21 17:02:20.659, 41.76 W
2022/11/21 17:02:20.672, 41.76 W
2022/11/21 17:02:20.686, 41.76 W
2022/11/21 17:02:20.698, 41.76 W
2022/11/21 17:02:20.711, 41.76 W
2022/11/21 17:02:20.726, 41.76 W
2022/11/21 17:02:20.739, 41.87 W
2022/11/21 17:02:20.751, 41.87 W
2022/11/21 17:02:20.766, 41.87 W
2022/11/21 17:02:20.779, 41.87 W
2022/11/21 17:02:20.792, 41.87 W
2022/11/21 17:02:20.806, 41.87 W
2022/11/21 17:02:20.819, 41.87 W
2022/11/21 17:02:20.832, 41.66 W
2022/11/21 17:02:20.848, 41.66 W
2022/11/21 17:02:20.860, 41.66 W
2022/11/21 17:02:20.873, 41.66 W
2022/11/21 17:02:20.887, 41.66 W
2022/11/21 17:02:20.900, 41.66 W
2022/11/21 17:02:20.912, 41.66 W
2022/11/21 17:02:20.927, 41.66 W
2022/11/21 17:02:20.940, 41.87 W
2022/11/21 17:02:20.953, 41.87 W
2022/11/21 17:02:20.968, 41.87 W
2022/11/21 17:02:20.980, 41.87 W
2022/11/21 17:02:20.993, 41.87 W
2022/11/21 17:02:21.008, 41.87 W
2022/11/21 17:02:21.020, 41.87 W
2022/11/21 17:02:21.033, 41.67 W
2022/11/21 17:02:21.049, 41.67 W
2022/11/21 17:02:21.062, 41.67 W
2022/11/21 17:02:21.074, 41.67 W
2022/11/21 17:02:21.088, 41.67 W
2022/11/21 17:02:21.101, 41.67 W
2022/11/21 17:02:21.114, 41.67 W
2022/11/21 17:02:21.128, 41.67 W
2022/11/21 17:02:21.141, 41.87 W
2022/11/21 17:02:21.154, 41.87 W
2022/11/21 17:02:21.169, 41.87 W
2022/11/21 17:02:21.181, 41.87 W
2022/11/21 17:02:21.194, 41.87 W
2022/11/21 17:02:21.209, 41.87 W
2022/11/21 17:02:21.222, 41.87 W
2022/11/21 17:02:21.234, 41.66 W
2022/11/21 17:02:21.250, 41.66 W
2022/11/21 17:02:21.262, 41.66 W
2022/11/21 17:02:21.275, 41.66 W
2022/11/21 17:02:21.290, 41.66 W
2022/11/21 17:02:21.302, 41.66 W
2022/11/21 17:02:21.315, 41.66 W
2022/11/21 17:02:21.330, 41.66 W
2022/11/21 17:02:21.343, 41.87 W
2022/11/21 17:02:21.355, 41.87 W
2022/11/21 17:02:21.370, 41.87 W
