timestamp, power.draw [W]
2022/11/17 15:56:05.973, 287.60 W
2022/11/17 15:56:06.076, 191.38 W
2022/11/17 15:56:06.178, 131.73 W
2022/11/17 15:56:06.281, 189.96 W
2022/11/17 15:56:06.389, 263.91 W
2022/11/17 15:56:06.491, 283.77 W
2022/11/17 15:56:06.594, 276.95 W
2022/11/17 15:56:06.697, 218.71 W
2022/11/17 15:56:06.800, 167.80 W
2022/11/17 15:56:06.902, 130.45 W
2022/11/17 15:56:07.005, 126.45 W
2022/11/17 15:56:07.108, 191.03 W
2022/11/17 15:56:07.211, 271.42 W
2022/11/17 15:56:07.313, 134.29 W
2022/11/17 15:56:07.421, 94.17 W
2022/11/17 15:56:07.524, 268.07 W
2022/11/17 15:56:07.626, 124.96 W
2022/11/17 15:56:07.729, 270.44 W
2022/11/17 15:56:07.831, 112.97 W
2022/11/17 15:56:07.934, 196.19 W
2022/11/17 15:56:08.036, 229.73 W
2022/11/17 15:56:08.139, 169.36 W
2022/11/17 15:56:08.244, 176.41 W
2022/11/17 15:56:08.347, 206.75 W
2022/11/17 15:56:08.450, 120.54 W
2022/11/17 15:56:08.553, 192.90 W
2022/11/17 15:56:08.655, 142.90 W
2022/11/17 15:56:08.758, 119.31 W
2022/11/17 15:56:08.860, 134.12 W
2022/11/17 15:56:08.963, 95.87 W
2022/11/17 15:56:09.066, 99.63 W
2022/11/17 15:56:09.170, 82.48 W
2022/11/17 15:56:09.273, 68.36 W
2022/11/17 15:56:09.398, 83.71 W
2022/11/17 15:56:09.515, 83.71 W
2022/11/17 15:56:09.629, 83.51 W
2022/11/17 15:56:09.742, 83.51 W
2022/11/17 15:56:09.854, 83.68 W
2022/11/17 15:56:09.962, 83.58 W
2022/11/17 15:56:10.082, 83.61 W
2022/11/17 15:56:10.229, 83.22 W
2022/11/17 15:56:10.346, 83.32 W
2022/11/17 15:56:10.458, 83.41 W
2022/11/17 15:56:10.574, 83.41 W
2022/11/17 15:56:10.685, 83.22 W
2022/11/17 15:56:10.800, 83.29 W
2022/11/17 15:56:10.916, 83.41 W
2022/11/17 15:56:11.037, 83.22 W
2022/11/17 15:56:11.151, 83.32 W
2022/11/17 15:56:11.273, 83.32 W
2022/11/17 15:56:11.386, 83.32 W
2022/11/17 15:56:11.506, 83.22 W
2022/11/17 15:56:11.619, 83.32 W
2022/11/17 15:56:11.736, 83.32 W
2022/11/17 15:56:11.854, 83.19 W
2022/11/17 15:56:11.968, 83.22 W
2022/11/17 15:56:12.096, 83.22 W
2022/11/17 15:56:12.207, 83.22 W
2022/11/17 15:56:12.326, 83.22 W
2022/11/17 15:56:12.437, 83.19 W
2022/11/17 15:56:12.557, 83.41 W
2022/11/17 15:56:12.668, 83.12 W
2022/11/17 15:56:12.784, 83.22 W
2022/11/17 15:56:12.904, 83.12 W
2022/11/17 15:56:13.015, 83.22 W
2022/11/17 15:56:13.125, 83.02 W
2022/11/17 15:56:13.240, 83.12 W
2022/11/17 15:56:13.354, 83.10 W
2022/11/17 15:56:13.472, 83.02 W
2022/11/17 15:56:13.587, 83.02 W
2022/11/17 15:56:13.699, 82.62 W
2022/11/17 15:56:13.814, 82.83 W
2022/11/17 15:56:13.933, 82.62 W
2022/11/17 15:56:14.041, 82.43 W
2022/11/17 15:56:14.159, 82.22 W
2022/11/17 15:56:14.269, 81.83 W
2022/11/17 15:56:14.378, 81.54 W
2022/11/17 15:56:14.490, 81.26 W
2022/11/17 15:56:14.595, 80.97 W
2022/11/17 15:56:14.711, 81.16 W
2022/11/17 15:56:14.821, 81.93 W
2022/11/17 15:56:14.953, 82.72 W
2022/11/17 15:56:15.070, 82.69 W
2022/11/17 15:56:15.186, 82.72 W
2022/11/17 15:56:15.310, 82.62 W
2022/11/17 15:56:15.435, 82.72 W
2022/11/17 15:56:15.549, 82.62 W
